date,reference_entity,ticker,sector,cds_5y_spread_bps
2020-06-30,Alpha Bank Corp,ALPHA,financials,69.2
2020-06-30,Beta Energy Inc,BETA,energy,48.1
2020-06-30,Gamma Tech Ltd,GAMMA,tech,71.9
2020-06-30,Delta Industrial Co,DELTA,industrials,95.4
2020-06-30,Epsilon Telecom,EPSILON,telecoms,56.8
2020-07-31,Alpha Bank Corp,ALPHA,financials,83.1
2020-07-31,Beta Energy Inc,BETA,energy,54.8
2020-07-31,Gamma Tech Ltd,GAMMA,tech,78.4
2020-07-31,Delta Industrial Co,DELTA,industrials,111.3
2020-07-31,Epsilon Telecom,EPSILON,telecoms,63.4
2020-08-31,Alpha Bank Corp,ALPHA,financials,75.5
2020-08-31,Beta Energy Inc,BETA,energy,55.3
2020-08-31,Gamma Tech Ltd,GAMMA,tech,72.4
2020-08-31,Delta Industrial Co,DELTA,industrials,142.5
2020-08-31,Epsilon Telecom,EPSILON,telecoms,72.4
2020-09-30,Alpha Bank Corp,ALPHA,financials,81.7
2020-09-30,Beta Energy Inc,BETA,energy,51.6
2020-09-30,Gamma Tech Ltd,GAMMA,tech,63.2
2020-09-30,Delta Industrial Co,DELTA,industrials,158.7
2020-09-30,Epsilon Telecom,EPSILON,telecoms,74.3
2020-10-31,Alpha Bank Corp,ALPHA,financials,89.2
2020-10-31,Beta Energy Inc,BETA,energy,41.9
2020-10-31,Gamma Tech Ltd,GAMMA,tech,69.1
2020-10-31,Delta Industrial Co,DELTA,industrials,156.1
2020-10-31,Epsilon Telecom,EPSILON,telecoms,70.8
2020-11-30,Alpha Bank Corp,ALPHA,financials,83.7
2020-11-30,Beta Energy Inc,BETA,energy,43.5
2020-11-30,Gamma Tech Ltd,GAMMA,tech,66.7
2020-11-30,Delta Industrial Co,DELTA,industrials,144.4
2020-11-30,Epsilon Telecom,EPSILON,telecoms,69.4
2020-12-31,Alpha Bank Corp,ALPHA,financials,81.6
2020-12-31,Beta Energy Inc,BETA,energy,45.1
2020-12-31,Gamma Tech Ltd,GAMMA,tech,76.4
2020-12-31,Delta Industrial Co,DELTA,industrials,103.1
2020-12-31,Epsilon Telecom,EPSILON,telecoms,69.1
2021-01-31,Alpha Bank Corp,ALPHA,financials,85.0
2021-01-31,Beta Energy Inc,BETA,energy,49.4
2021-01-31,Gamma Tech Ltd,GAMMA,tech,72.7
2021-01-31,Delta Industrial Co,DELTA,industrials,84.6
2021-01-31,Epsilon Telecom,EPSILON,telecoms,71.1
2021-02-28,Alpha Bank Corp,ALPHA,financials,111.7
2021-02-28,Beta Energy Inc,BETA,energy,45.9
2021-02-28,Gamma Tech Ltd,GAMMA,tech,84.7
2021-02-28,Delta Industrial Co,DELTA,industrials,89.7
2021-02-28,Epsilon Telecom,EPSILON,telecoms,79.5
2021-03-31,Alpha Bank Corp,ALPHA,financials,94.2
2021-03-31,Beta Energy Inc,BETA,energy,41.3
2021-03-31,Gamma Tech Ltd,GAMMA,tech,87.4
2021-03-31,Delta Industrial Co,DELTA,industrials,89.6
2021-03-31,Epsilon Telecom,EPSILON,telecoms,89.2
2021-04-30,Alpha Bank Corp,ALPHA,financials,112.9
2021-04-30,Beta Energy Inc,BETA,energy,50.3
2021-04-30,Gamma Tech Ltd,GAMMA,tech,110.9
2021-04-30,Delta Industrial Co,DELTA,industrials,119.8
2021-04-30,Epsilon Telecom,EPSILON,telecoms,108.9
2021-05-31,Alpha Bank Corp,ALPHA,financials,106.6
2021-05-31,Beta Energy Inc,BETA,energy,50.8
2021-05-31,Gamma Tech Ltd,GAMMA,tech,94.6
2021-05-31,Delta Industrial Co,DELTA,industrials,132.1
2021-05-31,Epsilon Telecom,EPSILON,telecoms,94.5
2021-06-30,Alpha Bank Corp,ALPHA,financials,119.2
2021-06-30,Beta Energy Inc,BETA,energy,53.7
2021-06-30,Gamma Tech Ltd,GAMMA,tech,107.5
2021-06-30,Delta Industrial Co,DELTA,industrials,161.6
2021-06-30,Epsilon Telecom,EPSILON,telecoms,118.3
2021-07-31,Alpha Bank Corp,ALPHA,financials,123.4
2021-07-31,Beta Energy Inc,BETA,energy,46.7
2021-07-31,Gamma Tech Ltd,GAMMA,tech,99.0
2021-07-31,Delta Industrial Co,DELTA,industrials,133.6
2021-07-31,Epsilon Telecom,EPSILON,telecoms,109.3
2021-08-31,Alpha Bank Corp,ALPHA,financials,138.0
2021-08-31,Beta Energy Inc,BETA,energy,53.8
2021-08-31,Gamma Tech Ltd,GAMMA,tech,91.8
2021-08-31,Delta Industrial Co,DELTA,industrials,132.5
2021-08-31,Epsilon Telecom,EPSILON,telecoms,109.1
2021-09-30,Alpha Bank Corp,ALPHA,financials,116.0
2021-09-30,Beta Energy Inc,BETA,energy,47.7
2021-09-30,Gamma Tech Ltd,GAMMA,tech,83.4
2021-09-30,Delta Industrial Co,DELTA,industrials,132.2
2021-09-30,Epsilon Telecom,EPSILON,telecoms,104.5
2021-10-31,Alpha Bank Corp,ALPHA,financials,88.7
2021-10-31,Beta Energy Inc,BETA,energy,45.4
2021-10-31,Gamma Tech Ltd,GAMMA,tech,73.1
2021-10-31,Delta Industrial Co,DELTA,industrials,120.8
2021-10-31,Epsilon Telecom,EPSILON,telecoms,102.4
2021-11-30,Alpha Bank Corp,ALPHA,financials,71.0
2021-11-30,Beta Energy Inc,BETA,energy,39.7
2021-11-30,Gamma Tech Ltd,GAMMA,tech,67.5
2021-11-30,Delta Industrial Co,DELTA,industrials,88.3
2021-11-30,Epsilon Telecom,EPSILON,telecoms,99.0
2021-12-31,Alpha Bank Corp,ALPHA,financials,74.0
2021-12-31,Beta Energy Inc,BETA,energy,45.1
2021-12-31,Gamma Tech Ltd,GAMMA,tech,63.3
2021-12-31,Delta Industrial Co,DELTA,industrials,102.3
2021-12-31,Epsilon Telecom,EPSILON,telecoms,103.5
2022-01-31,Alpha Bank Corp,ALPHA,financials,75.9
2022-01-31,Beta Energy Inc,BETA,energy,47.3
2022-01-31,Gamma Tech Ltd,GAMMA,tech,63.2
2022-01-31,Delta Industrial Co,DELTA,industrials,96.6
2022-01-31,Epsilon Telecom,EPSILON,telecoms,99.6
2022-02-28,Alpha Bank Corp,ALPHA,financials,74.7
2022-02-28,Beta Energy Inc,BETA,energy,49.5
2022-02-28,Gamma Tech Ltd,GAMMA,tech,66.0
2022-02-28,Delta Industrial Co,DELTA,industrials,89.5
2022-02-28,Epsilon Telecom,EPSILON,telecoms,96.3
2022-03-31,Alpha Bank Corp,ALPHA,financials,86.7
2022-03-31,Beta Energy Inc,BETA,energy,48.8
2022-03-31,Gamma Tech Ltd,GAMMA,tech,62.2
2022-03-31,Delta Industrial Co,DELTA,industrials,95.0
2022-03-31,Epsilon Telecom,EPSILON,telecoms,101.1
2022-04-30,Alpha Bank Corp,ALPHA,financials,85.8
2022-04-30,Beta Energy Inc,BETA,energy,56.9
2022-04-30,Gamma Tech Ltd,GAMMA,tech,65.3
2022-04-30,Delta Industrial Co,DELTA,industrials,113.2
2022-04-30,Epsilon Telecom,EPSILON,telecoms,104.3
2022-05-31,Alpha Bank Corp,ALPHA,financials,107.3
2022-05-31,Beta Energy Inc,BETA,energy,61.0
2022-05-31,Gamma Tech Ltd,GAMMA,tech,58.1
2022-05-31,Delta Industrial Co,DELTA,industrials,144.7
2022-05-31,Epsilon Telecom,EPSILON,telecoms,103.4
2022-06-30,Alpha Bank Corp,ALPHA,financials,105.3
2022-06-30,Beta Energy Inc,BETA,energy,70.1
2022-06-30,Gamma Tech Ltd,GAMMA,tech,50.8
2022-06-30,Delta Industrial Co,DELTA,industrials,131.2
2022-06-30,Epsilon Telecom,EPSILON,telecoms,88.5
2022-07-31,Alpha Bank Corp,ALPHA,financials,94.5
2022-07-31,Beta Energy Inc,BETA,energy,70.0
2022-07-31,Gamma Tech Ltd,GAMMA,tech,51.1
2022-07-31,Delta Industrial Co,DELTA,industrials,131.0
2022-07-31,Epsilon Telecom,EPSILON,telecoms,78.5
2022-08-31,Alpha Bank Corp,ALPHA,financials,73.4
2022-08-31,Beta Energy Inc,BETA,energy,63.1
2022-08-31,Gamma Tech Ltd,GAMMA,tech,44.9
2022-08-31,Delta Industrial Co,DELTA,industrials,117.4
2022-08-31,Epsilon Telecom,EPSILON,telecoms,73.7
2022-09-30,Alpha Bank Corp,ALPHA,financials,74.6
2022-09-30,Beta Energy Inc,BETA,energy,68.3
2022-09-30,Gamma Tech Ltd,GAMMA,tech,46.3
2022-09-30,Delta Industrial Co,DELTA,industrials,129.4
2022-09-30,Epsilon Telecom,EPSILON,telecoms,71.5
2022-10-31,Alpha Bank Corp,ALPHA,financials,73.3
2022-10-31,Beta Energy Inc,BETA,energy,68.3
2022-10-31,Gamma Tech Ltd,GAMMA,tech,49.1
2022-10-31,Delta Industrial Co,DELTA,industrials,124.3
2022-10-31,Epsilon Telecom,EPSILON,telecoms,73.6
2022-11-30,Alpha Bank Corp,ALPHA,financials,71.5
2022-11-30,Beta Energy Inc,BETA,energy,65.7
2022-11-30,Gamma Tech Ltd,GAMMA,tech,51.4
2022-11-30,Delta Industrial Co,DELTA,industrials,99.6
2022-11-30,Epsilon Telecom,EPSILON,telecoms,66.8
2022-12-31,Alpha Bank Corp,ALPHA,financials,61.8
2022-12-31,Beta Energy Inc,BETA,energy,47.5
2022-12-31,Gamma Tech Ltd,GAMMA,tech,44.6
2022-12-31,Delta Industrial Co,DELTA,industrials,85.8
2022-12-31,Epsilon Telecom,EPSILON,telecoms,60.4
2023-01-31,Alpha Bank Corp,ALPHA,financials,64.0
2023-01-31,Beta Energy Inc,BETA,energy,54.4
2023-01-31,Gamma Tech Ltd,GAMMA,tech,50.4
2023-01-31,Delta Industrial Co,DELTA,industrials,94.4
2023-01-31,Epsilon Telecom,EPSILON,telecoms,68.5
2023-02-28,Alpha Bank Corp,ALPHA,financials,65.5
2023-02-28,Beta Energy Inc,BETA,energy,49.9
2023-02-28,Gamma Tech Ltd,GAMMA,tech,47.3
2023-02-28,Delta Industrial Co,DELTA,industrials,77.5
2023-02-28,Epsilon Telecom,EPSILON,telecoms,63.0
2023-03-31,Alpha Bank Corp,ALPHA,financials,63.8
2023-03-31,Beta Energy Inc,BETA,energy,57.2
2023-03-31,Gamma Tech Ltd,GAMMA,tech,60.3
2023-03-31,Delta Industrial Co,DELTA,industrials,70.1
2023-03-31,Epsilon Telecom,EPSILON,telecoms,69.4
2023-04-30,Alpha Bank Corp,ALPHA,financials,55.1
2023-04-30,Beta Energy Inc,BETA,energy,57.1
2023-04-30,Gamma Tech Ltd,GAMMA,tech,55.3
2023-04-30,Delta Industrial Co,DELTA,industrials,49.4
2023-04-30,Epsilon Telecom,EPSILON,telecoms,69.9
2023-05-31,Alpha Bank Corp,ALPHA,financials,52.0
2023-05-31,Beta Energy Inc,BETA,energy,49.7
2023-05-31,Gamma Tech Ltd,GAMMA,tech,45.7
2023-05-31,Delta Industrial Co,DELTA,industrials,39.9
2023-05-31,Epsilon Telecom,EPSILON,telecoms,66.9
2023-06-30,Alpha Bank Corp,ALPHA,financials,53.3
2023-06-30,Beta Energy Inc,BETA,energy,53.2
2023-06-30,Gamma Tech Ltd,GAMMA,tech,49.1
2023-06-30,Delta Industrial Co,DELTA,industrials,54.1
2023-06-30,Epsilon Telecom,EPSILON,telecoms,68.0
2023-07-31,Alpha Bank Corp,ALPHA,financials,47.3
2023-07-31,Beta Energy Inc,BETA,energy,56.4
2023-07-31,Gamma Tech Ltd,GAMMA,tech,45.6
2023-07-31,Delta Industrial Co,DELTA,industrials,60.6
2023-07-31,Epsilon Telecom,EPSILON,telecoms,66.5
